Available CPU Cores: 48

[42 threads]: avgTime= 3008274159, avgThroughput=66904, averageFinalSize=100
[46 threads]: avgTime= 3009694543, avgThroughput=226851, averageFinalSize=100
---
Done Testing LazyList

Testing LockFreeList with numInitialElements = 100, range = 200, numRuns = 3
---
50% Adds, 50% Removes, 0% Contains
[2 threads]: avgTime= 3001228964, avgThroughput=1360, averageFinalSize=107
[6 threads]: avgTime= 3001563352, avgThroughput=2042, averageFinalSize=101
[12 threads]: avgTime= 3002617565, avgThroughput=2907, averageFinalSize=98
[18 threads]: avgTime= 3003559516, avgThroughput=3873, averageFinalSize=105
[24 threads]: avgTime= 3008011264, avgThroughput=5179, averageFinalSize=98
[30 threads]: avgTime= 3005930475, avgThroughput=6424, averageFinalSize=101
[36 threads]: avgTime= 3006937943, avgThroughput=7584, averageFinalSize=93
[42 threads]: avgTime= 3007704666, avgThroughput=8132, averageFinalSize=107
[46 threads]: avgTime= 3012839304, avgThroughput=8318, averageFinalSize=94

10% Adds, 10% Removes, 80% Contains
[2 threads]: avgTime= 3000673434, avgThroughput=2204, averageFinalSize=97
[6 threads]: avgTime= 3001331889, avgThroughput=3192, averageFinalSize=97
[12 threads]: avgTime= 3004288168, avgThroughput=4892, averageFinalSize=98
[18 threads]: avgTime= 3003581771, avgThroughput=7985, averageFinalSize=99
[24 threads]: avgTime= 3004792418, avgThroughput=12782, averageFinalSize=104
[30 threads]: avgTime= 3006968552, avgThroughput=18722, averageFinalSize=108
[36 threads]: avgTime= 3006940036, avgThroughput=23044, averageFinalSize=103
[42 threads]: avgTime= 3007477553, avgThroughput=26353, averageFinalSize=98
[46 threads]: avgTime= 3011200923, avgThroughput=27158, averageFinalSize=105

0% Adds, 0% Removes, 100% Contains
[2 threads]: avgTime= 3001416901, avgThroughput=5683, averageFinalSize=100
[6 threads]: avgTime= 3001649937, avgThroughput=6925, averageFinalSize=100
[12 threads]: avgTime= 3006924752, avgThroughput=44959, averageFinalSize=100
[18 threads]: avgTime= 3009018344, avgThroughput=14114, averageFinalSize=100
[24 threads]: avgTime= 3005739973, avgThroughput=7749, averageFinalSize=100
[30 threads]: avgTime= 3011710458, avgThroughput=69581, averageFinalSize=100
[36 threads]: avgTime= 3009673043, avgThroughput=103978, averageFinalSize=100
[42 threads]: avgTime= 3016320106, avgThroughput=19941, averageFinalSize=100
[46 threads]: avgTime= 3016669808, avgThroughput=75252, averageFinalSize=100
---
Done Testing LockFreeList
